GlobalEventID,Day,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_Fullname,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_ADM2Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_Fullname,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_ADM2Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_Fullname,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_ADM2Code,ActionGeo_Lat,ActionGeo_Long
1162964180,20240311,202403,2024,2024.1945,AFR,AFRICA,AFR,,,,,,,,BUS,AIRLINE,,,,,,BUS,,,0,190,190,19,4,-10.0,4,2,4,0.0053042358111749,5,"Gauteng, Gauteng, South Africa",SF,SF06,-26.0833,28.25,204226,5,"Gauteng, Gauteng, South Africa",SF,SF06,-26.0833,28.25,204226,5,"Gauteng, Gauteng, South Africa",SF,SF06,-26.0833,28.25,204226,20240311,https://www.moneyweb.co.za/news/companies-and-deals/gordhans-departure-will-make-mango-sale-easier-brp/
1162964211,20240311,202403,2024,2024.1945,BUS,AIRLINE,,,,,,BUS,,,AFR,AFRICA,AFR,,,,,,,,0,190,190,19,4,-10.0,4,2,4,0.0053042358111749,5,"Gauteng, Gauteng, South Africa",SF,SF06,-26.0833,28.25,204226,5,"Gauteng, Gauteng, South Africa",SF,SF06,-26.0833,28.25,204226,5,"Gauteng, Gauteng, South Africa",SF,SF06,-26.0833,28.25,204226,20240311,https://www.moneyweb.co.za/news/companies-and-deals/gordhans-departure-will-make-mango-sale-easier-brp/
1162964575,20240311,202403,2024,2024.1945,MIL,FIGHTER PLANE,,,,,,MIL,,,RUS,RUSSIAN,RUS,,,,,,,,1,194,194,19,4,-10.0,16,2,16,-2.58747385124467,4,"Kupyansk, Kharkivs'ka Oblast', Ukraine",UP,UP07,49.7209,37.5998,-1044158,4,"Kupyansk, Kharkivs'ka Oblast', Ukraine",UP,UP07,49.7209,37.5998,-1044158,4,"Kupyansk, Kharkivs'ka Oblast', Ukraine",UP,UP07,49.7209,37.5998,-1044158,20240311,https://www.washingtonpost.com/world/2024/03/11/russia-glide-bombs-air-force-avdiivka/
1162964576,20240311,202403,2024,2024.1945,MIL,FIGHTER PLANE,,,,,,MIL,,,RUS,RUSSIA,RUS,,,,,,,,1,195,195,19,4,-10.0,6,3,6,-2.70363025432918,4,"Kupyansk, Kharkivs'ka Oblast', Ukraine",UP,UP07,49.7209,37.5998,-1044158,4,"Kupyansk, Kharkivs'ka Oblast', Ukraine",UP,UP07,49.7209,37.5998,-1044158,4,"Kupyansk, Kharkivs'ka Oblast', Ukraine",UP,UP07,49.7209,37.5998,-1044158,20240311,https://www.washingtonpost.com/world/2024/03/11/russia-glide-bombs-air-force-avdiivka/
1162964577,20240311,202403,2024,2024.1945,MIL,FIGHTER PLANE,,,,,,MIL,,,RUS,RUSSIAN,RUS,,,,,,,,1,195,195,19,4,-10.0,24,3,24,-2.70363025432918,4,"Kyiv, Kyyiv, Misto, Ukraine",UP,UP12,50.4333,30.5167,-1044367,4,"Moscow, Moskva, Russia",RS,RS48,55.7522,37.6156,-2960561,4,"Moscow, Moskva, Russia",RS,RS48,55.7522,37.6156,-2960561,20240311,https://www.washingtonpost.com/world/2024/03/11/russia-glide-bombs-air-force-avdiivka/
1162972323,20240311,202403,2024,2024.1945,BUS,AIRLINE,,,,,,BUS,,,USAMED,REUTERS,USA,,,,,MED,,,1,182,182,18,4,-9.5,3,1,3,-1.52671755725191,4,"Bengaluru, Karnataka, India",IN,IN19,12.9833,77.5833,-2090174,4,"Bengaluru, Karnataka, India",IN,IN19,12.9833,77.5833,-2090174,4,"Bengaluru, Karnataka, India",IN,IN19,12.9833,77.5833,-2090174,20240311,https://www.usnews.com/news/world/articles/2024-03-11/24-injured-after-technical-problem-on-latam-sydney-auckland-flight-nz-herald-reports
1162990661,20240311,202403,2024,2024.1945,MIL,FIGHTER JET,,,,,,MIL,,,ISR,ISRAELI,ISR,,,,,,,,0,195,195,19,4,-10.0,4,1,4,-4.644412191582,4,"Galilee, Ha?afon, Israel",IS,IS03,32.9,35.3333,-779978,4,"Galilee, Ha?afon, Israel",IS,IS03,32.9,35.3333,-779978,4,"Galilee, Ha?afon, Israel",IS,IS03,32.9,35.3333,-779978,20240311,https://www.tellerreport.com/news/2024-03-11-hezbollah-carries-out-12-attacks-against-israeli-sites--and-tel-aviv-is-preparing-to-attack-lebanon.SJc6pQ26a.html
1162990662,20240311,202403,2024,2024.1945,MIL,FIGHTER JET,,,,,,MIL,,,ISR,ISRAELI,ISR,,,,,,,,0,195,195,19,4,-10.0,3,1,3,-4.644412191582,4,"Galilee, Ha?afon, Israel",IS,IS03,32.9,35.3333,-779978,4,"Kafr Kila, Nabatî, Lebanon",LE,LE07,33.2772,35.5517,-805520,4,"Galilee, Ha?afon, Israel",IS,IS03,32.9,35.3333,-779978,20240311,https://www.tellerreport.com/news/2024-03-11-hezbollah-carries-out-12-attacks-against-israeli-sites--and-tel-aviv-is-preparing-to-attack-lebanon.SJc6pQ26a.html
1163011752,20240304,202403,2024,2024.1753,NZL,NEW ZEALAND,NZL,,,,,,,,MNCUSA,BOEING,USA,,,,,MNC,,,1,182,182,18,4,-9.5,3,1,3,-6.15384615384615,1,New Zealand,NZ,NZ,-42.0,174.0,NZ,4,"Sydney, New South Wales, Australia",AS,AS02,-33.8833,151.217,-1603135,1,New Zealand,NZ,NZ,-42.0,174.0,NZ,20240311,https://biztoc.com/x/aa8fbd65e97cf714
1163017949,20240311,202403,2024,2024.1945,,,,,,,,,,,CAN,SASKATCHEWAN,CAN,,,,,,,,0,190,190,19,4,-10.0,2,1,2,-0.45731707317073,0,,,,,,,4,"Saskatoon, Saskatchewan, Canada",CA,CA11,52.1333,-106.667,-573213,4,"Saskatchewan, Manitoba, Canada",CA,CA03,52.15,-97.7167,-575075,20240311,https://leaderpost.com/opinion/columnists/murray-mandryk-warning-letters-reveal-sask-partys-selective-hearing
1163017950,20240311,202403,2024,2024.1945,,,,,,,,,,,CAN,SASKATCHEWAN,CAN,,,,,,,,0,190,190,19,4,-10.0,8,1,8,-0.45731707317073,0,,,,,,,4,"Saskatchewan, Manitoba, Canada",CA,CA03,52.15,-97.7167,-575075,4,"Saskatchewan, Manitoba, Canada",CA,CA03,52.15,-97.7167,-575075,20240311,https://leaderpost.com/opinion/columnists/murray-mandryk-warning-letters-reveal-sask-partys-selective-hearing
1163018239,20240311,202403,2024,2024.1945,CAN,SASKATCHEWAN,CAN,,,,,,,,,,,,,,,,,,0,190,190,19,4,-10.0,2,1,2,-0.45731707317073,4,"Saskatoon, Saskatchewan, Canada",CA,CA11,52.1333,-106.667,-573213,0,,,,,,,4,"Saskatchewan, Manitoba, Canada",CA,CA03,52.15,-97.7167,-575075,20240311,https://leaderpost.com/opinion/columnists/murray-mandryk-warning-letters-reveal-sask-partys-selective-hearing
